,Title,Company,Work_Environment,Job_Description,When_Posted,Pay,City,State,Rating
58,Senior Business Data Analyst,East West Bank,,Troubleshoot and root cause data anomalies.,Posted 11 days ago·,,Pasadena,CA,
59,Senior Data Scientist,Warner Bros. Discovery,,You will work with the data science team to implement best practices in data and code quality and collaborate with business stakeholders to solve broader…,Posted 24 days ago·,222300.0,Culver City,CA,
60,Senior Data Analyst,O Positiv,,Who We Are O Positiv is a Los Angeles-based health & wellness brand built on the idea that small acts of self-care produce positive outcomes. We've created…,Posted 30+ days ago·,,Santa Monica,CA,
61,PROJECT MANAGER - DATA & ANALYTICS,STAND 8,,"STAND 8 provides end to end IT solutions to enterprise partners across the United States with offices in Los Angeles, New York, New Jersey, Atlanta and more,…",Posted 13 days ago·,145600.0,Burbank,CA,
62,Business Intelligence Engineer II,Disney Entertainment & ESPN Technology,,"On any given day at Disney Entertainment & ESPN Technology, we’re reimagining ways to create magical viewing experiences for the world’s most beloved stories…",Posted 3 days ago·,114400.0,Burbank,CA,
63,"Data Scientist, Payment Analytics - USDS",TikTok,Hybrid,Responsibilities About TikTok U.S. Data Security TikTok is the leading destination for short-form mobile video. Our mission is to inspire creativity and bring…,Posted 8 days ago·,228000.0,   Los Angeles,CA,
64,Data Engineer II,System1,Hybrid,System1 is one of the largest customer acquisition companies in the world whose growth depends heavily on a very talented data engineering team. The Data…,Posted 3 days ago·,,   Los Angeles,CA,
65,"Entry Level Data Analyst, application via RippleMatch",RippleMatch Opportunities,,This role is with RippleMatch's partner companies. About RippleMatch RippleMatch is the recruitment automation platform changing how Gen Z finds work. By…,Posted 5 days ago·,,Los Angeles,CA,
66,"Sr Data Scientist, Product Analytics - USDS",TikTok,Hybrid,Responsibilities TikTok is the leading destination for short-form mobile video. Our mission is to inspire creativity and bring joy. U.S. Data Security (“USDS”…,Posted 30+ days ago·,312866.0,   Los Angeles,CA,
67,"Analyst, Content Performance Analytics (Disney Entertainment)",Disney Entertainment Television,,"The Disney Entertainment Research, Insights, and Analytics team sits within Disney Entertainment and consults with Senior Content, Strategy, and Marketing…",Posted 30+ days ago·,93800.0,Los Angeles,CA,
68,Lead Data Analyst,Childrens Institute Inc,,"SUMMARY The Lead Data Analyst is the subject matter expert in all Tableau modules, including Desktop, Bridge and Cloud. Manages users, groups, permission and…",Posted 30+ days ago·,,Los Angeles,CA,
69,Games Data Lead,Blitz App,,"We are a dynamic start-up where performance is at the core of our values. We are a small, entrepreneurial team with big ambitions. You'll find coworkers who…",Posted 30+ days ago·,,Los Angeles,CA,
70,"Quantum Research Scientist, AWS CQC Fabrication","Amazon Development Center U.S., Inc.",,"- PhD, or Master's degree and 4+ years of quantitative field research experience - Experience analyzing both experimental and observational data sets -…",Posted 4 days ago·,124100.0,Pasadena,CA,
71,Programmer/Analyst - Artificial Intelligence in Medicine (AIM),CEDARS-SINAI,,Job Description Everyone’s unique health journey is informed by data. Join us as we translate today's discoveries into tomorrow's medicine! When the work…,Posted 30+ days ago·,,Los Angeles,CA,
72,Postdoctoral Scientist - Smidt Heart Institute - Karlstaedt Lab,Springer Nature,,"Postdoctoral Scientist - Smidt Heart Institute - Karlstaedt Lab Employer Cedars-Sinai Location Los Angeles, California Salary Competitive Closing date 20 May…",Posted 5 days ago·,93600.0,Los Angeles,CA,
